dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
29/06/2020,29,6,2020,14,0,China,CN,CHN,1433783692,Asia,0.02943261
28/06/2020,28,6,2020,18,0,China,CN,CHN,1433783692,Asia,0.03173422
27/06/2020,27,6,2020,24,0,China,CN,CHN,1433783692,Asia,0.03466353
26/06/2020,26,6,2020,28,1,China,CN,CHN,1433783692,Asia,0.03382658
25/06/2020,25,6,2020,20,0,China,CN,CHN,1433783692,Asia,0.03236192
24/06/2020,24,6,2020,29,1,China,CN,CHN,1433783692,Asia,0.03173422
23/06/2020,23,6,2020,52,0,China,CN,CHN,1433783692,Asia,0.02999058
22/06/2020,22,6,2020,19,0,China,CN,CHN,1433783692,Asia,0.02657305
21/06/2020,21,6,2020,29,1,China,CN,CHN,1433783692,Asia,0.02559661
20/06/2020,20,6,2020,30,0,China,CN,CHN,1433783692,Asia,0.0242017
19/06/2020,19,6,2020,36,0,China,CN,CHN,1433783692,Asia,0.02252781
18/06/2020,18,6,2020,36,0,China,CN,CHN,1433783692,Asia,0.02078417
17/06/2020,17,6,2020,44,0,China,CN,CHN,1433783692,Asia,0.01834307
16/06/2020,16,6,2020,43,0,China,CN,CHN,1433783692,Asia,0.015623
15/06/2020,15,6,2020,47,0,China,CN,CHN,1433783692,Asia,0.01311216
14/06/2020,14,6,2020,60,0,China,CN,CHN,1433783692,Asia,0.01115928
13/06/2020,13,6,2020,12,0,China,CN,CHN,1433783692,Asia,0.00732328
12/06/2020,12,6,2020,7,0,China,CN,CHN,1433783692,Asia,0.00767201
11/06/2020,11,6,2020,11,0,China,CN,CHN,1433783692,Asia,0.00718379
10/06/2020,10,6,2020,4,0,China,CN,CHN,1433783692,Asia,0.00662583
09/06/2020,9,6,2020,3,0,China,CN,CHN,1433783692,Asia,0.00641659
08/06/2020,8,6,2020,5,0,China,CN,CHN,1433783692,Asia,0.00669557
07/06/2020,7,6,2020,9,0,China,CN,CHN,1433783692,Asia,0.00711404
06/06/2020,6,6,2020,6,0,China,CN,CHN,1433783692,Asia,0.00669557
05/06/2020,5,6,2020,11,0,China,CN,CHN,1433783692,Asia,0.00641659
04/06/2020,4,6,2020,1,0,China,CN,CHN,1433783692,Asia,0.00648633
03/06/2020,3,6,2020,5,0,China,CN,CHN,1433783692,Asia,0.00655608
02/06/2020,2,6,2020,7,0,China,CN,CHN,1433783692,Asia,0.00634684
01/06/2020,1,6,2020,19,0,China,CN,CHN,1433783692,Asia,0.00648633
31/05/2020,31,5,2020,5,0,China,CN,CHN,1433783692,Asia,0.00585862
30/05/2020,30,5,2020,17,0,China,CN,CHN,1433783692,Asia,0.00592837
29/05/2020,29,5,2020,0,0,China,CN,CHN,1433783692,Asia,0.00537041
28/05/2020,28,5,2020,3,0,China,CN,CHN,1433783692,Asia,0.00571913
27/05/2020,27,5,2020,1,0,China,CN,CHN,1433783692,Asia,0.00592837
26/05/2020,26,5,2020,7,0,China,CN,CHN,1433783692,Asia,0.00634684
25/05/2020,25,5,2020,11,0,China,CN,CHN,1433783692,Asia,0.00592837
24/05/2020,24,5,2020,3,0,China,CN,CHN,1433783692,Asia,0.00648633
23/05/2020,23,5,2020,2,0,China,CN,CHN,1433783692,Asia,0.00732328
22/05/2020,22,5,2020,12,0,China,CN,CHN,1433783692,Asia,0.00718379
21/05/2020,21,5,2020,2,0,China,CN,CHN,1433783692,Asia,0.00676532
20/05/2020,20,5,2020,2,0,China,CN,CHN,1433783692,Asia,0.00676532
19/05/2020,19,5,2020,9,0,China,CN,CHN,1433783692,Asia,0.00676532
18/05/2020,18,5,2020,10,0,China,CN,CHN,1433783692,Asia,0.0062771
17/05/2020,17,5,2020,6,1,China,CN,CHN,1433783692,Asia,0.00578888
16/05/2020,16,5,2020,9,0,China,CN,CHN,1433783692,Asia,0.0055099
15/05/2020,15,5,2020,5,0,China,CN,CHN,1433783692,Asia,0.00509142
14/05/2020,14,5,2020,6,0,China,CN,CHN,1433783692,Asia,0.00557964
13/05/2020,13,5,2020,7,0,China,CN,CHN,1433783692,Asia,0.00544015
12/05/2020,12,5,2020,1,0,China,CN,CHN,1433783692,Asia,0.00509142
11/05/2020,11,5,2020,19,0,China,CN,CHN,1433783692,Asia,0.00683506
10/05/2020,10,5,2020,15,0,China,CN,CHN,1433783692,Asia,0.00571913
09/05/2020,9,5,2020,0,0,China,CN,CHN,1433783692,Asia,0.00537041
08/05/2020,8,5,2020,6,0,China,CN,CHN,1433783692,Asia,0.00641659
07/05/2020,7,5,2020,2,0,China,CN,CHN,1433783692,Asia,0.00655608
06/05/2020,6,5,2020,2,0,China,CN,CHN,1433783692,Asia,0.00725353
05/05/2020,5,5,2020,2,0,China,CN,CHN,1433783692,Asia,0.00816023
04/05/2020,4,5,2020,3,0,China,CN,CHN,1433783692,Asia,0.01025259
03/05/2020,3,5,2020,2,0,China,CN,CHN,1433783692,Asia,0.01101979
02/05/2020,2,5,2020,3,0,China,CN,CHN,1433783692,Asia,0.01213572
01/05/2020,1,5,2020,12,0,China,CN,CHN,1433783692,Asia,0.0140886
30/04/2020,30,4,2020,4,0,China,CN,CHN,1433783692,Asia,0.03780208
29/04/2020,29,4,2020,2,0,China,CN,CHN,1433783692,Asia,0.04101037
28/04/2020,28,4,2020,26,0,China,CN,CHN,1433783692,Asia,0.04428841
27/04/2020,27,4,2020,3,1,China,CN,CHN,1433783692,Asia,0.04903111
26/04/2020,26,4,2020,10,0,China,CN,CHN,1433783692,Asia,0.05663337
25/04/2020,25,4,2020,15,0,China,CN,CHN,1433783692,Asia,0.06242225
24/04/2020,24,4,2020,8,0,China,CN,CHN,1433783692,Asia,0.06688596
23/04/2020,23,4,2020,12,0,China,CN,CHN,1433783692,Asia,0.070164
22/04/2020,22,4,2020,15,0,China,CN,CHN,1433783692,Asia,0.07532517
21/04/2020,21,4,2020,32,0,China,CN,CHN,1433783692,Asia,0.0802771
20/04/2020,20,4,2020,14,0,China,CN,CHN,1433783692,Asia,0.08195099
19/04/2020,19,4,2020,18,0,China,CN,CHN,1433783692,Asia,0.08564751
18/04/2020,18,4,2020,31,0,China,CN,CHN,1433783692,Asia,0.08773987
17/04/2020,17,4,2020,352,1290,China,CN,CHN,1433783692,Asia,0.08990199
16/04/2020,16,4,2020,50,0,China,CN,CHN,1433783692,Asia,0.07023375
15/04/2020,15,4,2020,49,1,China,CN,CHN,1433783692,Asia,0.07372102
14/04/2020,14,4,2020,94,0,China,CN,CHN,1433783692,Asia,0.07406975
13/04/2020,13,4,2020,112,2,China,CN,CHN,1433783692,Asia,0.07337229
12/04/2020,12,4,2020,93,0,China,CN,CHN,1433783692,Asia,0.07239586
11/04/2020,11,4,2020,79,3,China,CN,CHN,1433783692,Asia,0.07379077
10/04/2020,10,4,2020,55,1,China,CN,CHN,1433783692,Asia,0.07658059
09/04/2020,9,4,2020,86,2,China,CN,CHN,1433783692,Asia,0.07930066
08/04/2020,8,4,2020,86,2,China,CN,CHN,1433783692,Asia,0.08041659
07/04/2020,7,4,2020,56,0,China,CN,CHN,1433783692,Asia,0.07985863
06/04/2020,6,4,2020,67,2,China,CN,CHN,1433783692,Asia,0.08076532
05/04/2020,5,4,2020,48,3,China,CN,CHN,1433783692,Asia,0.08571725
04/04/2020,4,4,2020,62,4,China,CN,CHN,1433783692,Asia,0.08690293
03/04/2020,3,4,2020,70,10,China,CN,CHN,1433783692,Asia,0.08620547
02/04/2020,2,4,2020,100,6,China,CN,CHN,1433783692,Asia,0.08822809
01/04/2020,1,4,2020,54,1,China,CN,CHN,1433783692,Asia,0.08432234
31/03/2020,31,3,2020,84,3,China,CN,CHN,1433783692,Asia,0.08216023
30/03/2020,30,3,2020,98,2,China,CN,CHN,1433783692,Asia,0.07930066
29/03/2020,29,3,2020,113,5,China,CN,CHN,1433783692,Asia,0.07420924
28/03/2020,28,3,2020,119,3,China,CN,CHN,1433783692,Asia,0.0678624
27/03/2020,27,3,2020,94,5,China,CN,CHN,1433783692,Asia,0.06088785
26/03/2020,26,3,2020,102,6,China,CN,CHN,1433783692,Asia,0.05586617
25/03/2020,25,3,2020,78,4,China,CN,CHN,1433783692,Asia,0.05042602
24/03/2020,24,3,2020,69,7,China,CN,CHN,1433783692,Asia,0.04700849
23/03/2020,23,3,2020,138,9,China,CN,CHN,1433783692,Asia,0.04359095
22/03/2020,22,3,2020,65,6,China,CN,CHN,1433783692,Asia,0.03710462
21/03/2020,21,3,2020,52,6,China,CN,CHN,1433783692,Asia,0.03577946
20/03/2020,20,3,2020,99,4,China,CN,CHN,1433783692,Asia,0.03919699
19/03/2020,19,3,2020,44,8,China,CN,CHN,1433783692,Asia,0.04414892
18/03/2020,18,3,2020,23,16,China,CN,CHN,1433783692,Asia,0.04924034
17/03/2020,17,3,2020,43,9,China,CN,CHN,1433783692,Asia,0.05593591
16/03/2020,16,3,2020,25,13,China,CN,CHN,1433783692,Asia,0.06179454
15/03/2020,15,3,2020,22,9,China,CN,CHN,1433783692,Asia,0.07434873
14/03/2020,14,3,2020,19,15,China,CN,CHN,1433783692,Asia,0.11284826
13/03/2020,13,3,2020,22,7,China,CN,CHN,1433783692,Asia,0.14137418
12/03/2020,12,3,2020,24,11,China,CN,CHN,1433783692,Asia,0.16278606
11/03/2020,11,3,2020,29,22,China,CN,CHN,1433783692,Asia,0.19173046
10/03/2020,10,3,2020,20,17,China,CN,CHN,1433783692,Asia,0.2183035
09/03/2020,9,3,2020,45,23,China,CN,CHN,1433783692,Asia,0.25282754
08/03/2020,8,3,2020,46,27,China,CN,CHN,1433783692,Asia,0.26489351
07/03/2020,7,3,2020,101,28,China,CN,CHN,1433783692,Asia,0.30681058
06/03/2020,6,3,2020,170,30,China,CN,CHN,1433783692,Asia,0.35737608
05/03/2020,5,3,2020,117,31,China,CN,CHN,1433783692,Asia,0.40766261
04/03/2020,4,3,2020,119,37,China,CN,CHN,1433783692,Asia,0.42698212
03/03/2020,3,3,2020,127,32,China,CN,CHN,1433783692,Asia,0.54073708
02/03/2020,2,3,2020,205,42,China,CN,CHN,1433783692,Asia,0.66369844
01/03/2020,1,3,2020,574,35,China,CN,CHN,1433783692,Asia,0.79251843
29/02/2020,29,2,2020,428,47,China,CN,CHN,1433783692,Asia,0.89246377
28/02/2020,28,2,2020,329,44,China,CN,CHN,1433783692,Asia,1.03962683
27/02/2020,27,2,2020,439,29,China,CN,CHN,1433783692,Asia,1.30654297
26/02/2020,26,2,2020,410,52,China,CN,CHN,1433783692,Asia,2.33194171
25/02/2020,25,2,2020,515,70,China,CN,CHN,1433783692,Asia,2.44478998
24/02/2020,24,2,2020,218,150,China,CN,CHN,1433783692,Asia,2.58253739
23/02/2020,23,2,2020,647,98,China,CN,CHN,1433783692,Asia,2.77475607
22/02/2020,22,2,2020,826,109,China,CN,CHN,1433783692,Asia,2.9114573
21/02/2020,21,2,2020,891,118,China,CN,CHN,1433783692,Asia,3.09223771
20/02/2020,20,2,2020,394,112,China,CN,CHN,1433783692,Asia,3.25049031
19/02/2020,19,2,2020,1750,139,China,CN,CHN,1433783692,Asia,3.48295216
18/02/2020,18,2,2020,1890,98,China,CN,CHN,1433783692,Asia,3.63095216
17/02/2020,17,2,2020,2052,105,China,CN,CHN,1433783692,Asia,3.72489939
16/02/2020,16,2,2020,2007,142,China,CN,CHN,1433783692,Asia,3.77790599
15/02/2020,15,2,2020,2538,143,China,CN,CHN,1433783692,Asia,3.81856763
14/02/2020,14,2,2020,4156,13,China,CN,CHN,1433783692,Asia,3.78767036
13/02/2020,13,2,2020,15141,254,China,CN,CHN,1433783692,Asia,3.6359041
12/02/2020,12,2,2020,2028,97,China,CN,CHN,1433783692,Asia,2.70124428
11/02/2020,11,2,2020,2490,108,China,CN,CHN,1433783692,Asia,2.6620473
10/02/2020,10,2,2020,2974,97,China,CN,CHN,1433783692,Asia,2.61064484
09/02/2020,9,2,2020,2607,89,China,CN,CHN,1433783692,Asia,2.45811137
08/02/2020,8,2,2020,3418,86,China,CN,CHN,1433783692,Asia,2.32266556
07/02/2020,7,2,2020,3160,73,China,CN,CHN,1433783692,Asia,2.11503312
06/02/2020,6,2,2020,3727,72,China,CN,CHN,1433783692,Asia,1.91270135
05/02/2020,5,2,2020,3872,66,China,CN,CHN,1433783692,Asia,1.65952508
04/02/2020,4,2,2020,3237,65,China,CN,CHN,1433783692,Asia,1.39923477
03/02/2020,3,2,2020,2812,57,China,CN,CHN,1433783692,Asia,1.18400008
02/02/2020,2,2,2020,2590,45,China,CN,CHN,1433783692,Asia,0.98920082
01/02/2020,1,2,2020,2095,46,China,CN,CHN,1433783692,Asia,0.81804529
31/01/2020,31,1,2020,1980,43,China,CN,CHN,1433783692,Asia,0.67311409
30/01/2020,30,1,2020,1740,38,China,CN,CHN,1433783692,Asia,0.53529692
29/01/2020,29,1,2020,1466,26,China,CN,CHN,1433783692,Asia,0.41393971
28/01/2020,28,1,2020,1753,25,China,CN,CHN,1433783692,Asia,0.31169276
27/01/2020,27,1,2020,787,25,China,CN,CHN,1433783692,Asia,0.18942885
26/01/2020,26,1,2020,665,15,China,CN,CHN,1433783692,Asia,0.13453912
25/01/2020,25,1,2020,441,15,China,CN,CHN,1433783692,Asia,0.08815835
24/01/2020,24,1,2020,259,9,China,CN,CHN,1433783692,Asia,0.05740057
23/01/2020,23,1,2020,97,0,China,CN,CHN,1433783692,Asia,0.03933648
